,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84232,312,312,0,0,0,0,15456,0,0
1,83672,380,380,0,0,0,0,15955,7,0
2,83096,466,466,0,0,0,0,16455,17,0
3,82515,562,562,0,0,0,0,16954,31,0
4,81909,687,680,0,0,0,0,17450,39,0
5,81275,851,834,0,0,0,0,17942,51,0
6,80618,1031,1000,32,341,0,0,18439,57,0
7,79978,1193,1147,39,410,0,0,18933,58,0
8,79355,1340,1272,45,486,0,0,19428,55,0
9,78731,1493,1405,59,582,0,0,19923,59,0
10,78094,1662,1558,74,709,0,0,20421,73,0
11,77466,1816,1693,87,856,0,0,20913,72,0
12,76833,1977,1830,97,992,0,0,21400,63,0
13,76208,2137,1638,78,766,51,322,21892,60,0
14,75579,2291,1707,89,808,60,389,22383,58,0
15,74979,2422,1752,100,854,71,460,22873,64,0
16,74349,2596,1799,97,883,81,560,23357,65,0
17,73695,2803,1872,95,889,105,678,23845,90,0
18,73078,2969,1886,99,858,134,809,24323,96,0
19,72443,3163,1937,106,843,165,924,24810,114,0
20,71840,3326,1898,103,828,132,1070,25283,106,15
21,71237,3483,1904,103,845,137,1193,25760,110,16
22,70625,3638,1876,99,876,139,1329,26243,90,17
23,70011,3815,1893,101,877,148,1449,26718,95,24
24,69390,3981,1890,106,874,156,1581,27205,96,30
25,68778,4156,1897,104,873,147,1715,27679,107,38
26,68175,4314,1867,101,864,135,1858,28149,94,45
27,67561,4479,1887,105,879,132,1968,28629,93,48
28,66941,4659,1893,95,882,141,2099,29104,91,54
29,66364,4799,1856,95,850,155,2247,29581,106,58
30,65763,4963,1847,95,849,152,2385,30060,117,62
31,65194,5103,1798,92,837,146,2531,30530,123,70
32,64615,5255,1774,86,847,140,2661,30994,120,76
33,64013,5415,1771,90,862,145,2775,31474,116,83
34,63428,5567,1756,91,832,148,2895,31945,113,89
35,62840,5725,1724,95,811,134,3043,32410,111,94
36,62279,5843,1667,87,784,131,3170,32880,100,104
37,61712,5982,1634,85,763,135,3298,33350,104,110
38,61137,6117,1600,84,753,134,3419,33822,101,123
39,60565,6246,1575,79,738,141,3540,34295,104,129
40,60001,6384,1525,69,726,140,3681,34760,101,134
41,59454,6495,1500,64,722,136,3777,35230,101,142
42,58910,6610,1476,69,692,149,3883,35703,108,145
43,58366,6715,1432,70,695,138,3984,36166,92,154
44,57818,6826,1394,67,682,136,4095,36633,87,160
45,57260,6941,1340,66,660,126,4222,37110,84,165
46,56719,7037,1303,73,618,130,4327,37583,81,170
47,56173,7153,1258,72,574,119,4457,38054,86,174
48,55622,7260,1238,77,560,117,4545,38531,79,179
49,55087,7364,1225,66,558,117,4636,39000,88,185
50,54553,7449,1172,71,531,114,4740,39481,81,187
51,54024,7541,1134,68,511,110,4837,39951,84,193
52,53497,7631,1099,64,500,113,4931,40426,81,195
53,52961,7729,1082,57,508,102,5015,40899,81,201
54,52438,7816,1059,56,506,100,5092,41370,76,204
55,51894,7919,1055,45,495,101,5171,41844,69,206
56,51366,8018,1035,45,473,91,5257,42318,80,214
57,50858,8102,1016,38,463,94,5332,42802,93,217
58,50331,8192,1009,39,459,92,5406,43281,104,221
59,49809,8274,970,36,440,91,5487,43760,92,225
60,49280,8358,931,38,442,86,5568,44239,77,229
61,48775,8429,897,39,429,86,5641,44713,68,231
62,48250,8524,903,38,416,81,5702,45188,72,235
63,47729,8590,883,36,416,80,5759,45672,70,241
64,47208,8666,874,40,406,80,5819,46156,70,245
65,46693,8744,851,40,394,80,5888,46634,64,249
66,46179,8821,838,40,382,73,5952,47113,66,254
67,45655,8903,823,40,365,81,6023,47594,69,259
68,45147,8979,810,37,350,77,6088,48070,77,261
69,44632,9044,807,43,353,78,6131,48560,70,263
70,44122,9118,793,45,347,74,6191,49042,74,267
71,43611,9194,777,42,346,70,6250,49527,67,270
72,43109,9261,761,39,346,64,6312,50010,75,275
73,42607,9332,750,35,346,60,6362,50489,69,279
74,42115,9405,733,33,330,60,6425,50976,81,283
75,41598,9473,735,33,331,63,6466,51469,78,284
76,41108,9538,724,31,331,64,6520,51951,87,284
77,40596,9602,710,27,322,77,6562,52438,73,285
78,40081,9681,714,24,320,77,6614,52923,81,287
79,39572,9751,697,25,299,79,6668,53412,72,289
80,39068,9815,690,28,297,75,6715,53905,74,292
81,38567,9877,663,27,283,64,6774,54392,67,293
82,38071,9938,655,27,280,63,6820,54875,68,294
83,37580,9998,639,26,278,63,6871,55363,71,296
84,37090,10047,612,29,280,52,6921,55851,68,300
85,36599,10111,600,29,272,48,6970,56341,74,304
86,36111,10174,594,31,272,43,7012,56827,74,305
87,35621,10224,586,30,264,51,7049,57315,76,307
88,35138,10284,581,34,260,49,7083,57798,74,309
89,34649,10351,578,30,251,48,7125,58283,73,311
90,34167,10399,551,26,240,44,7177,58774,65,313
91,33681,10453,530,23,232,44,7223,59261,61,315
92,33200,10498,508,25,218,43,7264,59746,52,316
93,32706,10566,526,23,213,46,7300,60237,69,317
94,32219,10614,511,23,217,44,7338,60732,66,319
95,31727,10661,507,20,221,43,7373,61218,67,319
96,31234,10717,504,24,218,44,7400,61710,68,321
97,30730,10783,513,23,213,42,7434,62198,74,324
98,30242,10829,503,26,211,40,7470,62688,75,327
99,29738,10892,506,25,211,40,7499,63176,66,327
100,29238,10953,506,27,206,38,7532,63669,61,329
101,28747,11011,505,24,192,39,7571,64158,68,331
102,28255,11065,503,22,199,40,7603,64650,69,333
103,27750,11127,510,19,199,37,7636,65140,67,334
104,27264,11178,511,21,209,41,7661,65631,64,334
105,26755,11239,506,22,210,36,7702,66123,59,336
106,26273,11292,512,24,213,36,7730,66613,67,336
107,25780,11346,510,23,215,32,7762,67103,69,338
108,25297,11394,508,30,226,25,7792,67595,75,340
109,24812,11451,500,32,213,27,7829,68087,72,341
110,24320,11502,498,36,224,26,7858,68581,70,341
111,23841,11537,467,34,211,25,7897,69072,62,344
112,23350,11580,451,29,206,30,7931,69565,57,345
113,22880,11614,429,25,201,29,7963,70058,53,347
