,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84247,300,300,0,0,0,0,15453,0,0
1,83677,378,378,0,0,0,0,15953,8,0
2,83093,474,474,0,0,0,0,16451,18,0
3,82505,586,586,0,0,0,0,16948,39,0
4,81893,716,708,0,0,0,0,17446,47,0
5,81244,886,868,0,0,0,0,17943,55,0
6,80583,1075,1036,35,335,0,0,18439,58,0
7,79979,1205,1150,50,406,0,0,18928,57,0
8,79344,1358,1285,60,487,0,0,19422,51,0
9,78682,1553,1456,71,590,0,0,19918,56,0
10,78031,1729,1617,83,730,0,0,20409,57,0
11,77363,1925,1801,107,871,0,0,20905,69,0
12,76724,2094,1941,115,978,0,0,21396,61,0
13,76065,2302,1777,83,781,14,356,21882,80,0
14,75409,2496,1861,83,861,14,442,22370,82,0
15,74748,2690,1944,85,928,15,532,22863,87,0
16,74098,2889,1995,85,986,16,645,23353,91,0
17,73452,3110,2039,84,983,17,796,23839,126,0
18,72812,3299,2038,86,989,18,960,24332,142,0
19,72185,3464,2049,94,1034,18,1075,24821,130,0
20,71545,3650,2019,112,1043,4,1222,25301,95,8
21,70902,3847,2009,111,1038,5,1387,25787,93,8
22,70278,4022,1998,119,1030,6,1545,26272,102,9
23,69645,4192,1969,123,1001,5,1717,26758,99,10
24,69009,4389,1977,132,982,4,1866,27235,97,10
25,68365,4576,1955,120,981,4,2039,27719,88,10
26,67704,4790,1978,118,972,4,2207,28205,104,10
27,67085,4958,1941,108,953,5,2374,28684,94,10
28,66443,5160,1958,110,938,7,2531,29156,99,11
29,65810,5360,1957,107,940,5,2692,29624,95,12
30,65196,5533,1957,110,950,7,2837,30103,105,12
31,64584,5709,1963,111,986,7,2975,30576,110,12
32,63963,5904,1964,107,970,8,3134,31054,127,12
33,63354,6079,1944,109,981,8,3291,31531,132,12
34,62741,6280,1968,116,1000,7,3431,31996,148,12
35,62150,6438,1925,117,987,5,3580,32468,135,12
36,61557,6586,1873,114,970,7,3737,32937,116,12
37,60973,6724,1798,103,964,7,3896,33407,87,13
38,60353,6889,1750,93,931,8,4070,33885,71,13
39,59763,7041,1738,91,941,8,4209,34357,81,14
40,59159,7203,1706,89,892,8,4379,34833,91,14
41,58563,7365,1681,86,854,9,4543,35298,97,14
42,58005,7475,1622,77,842,9,4678,35769,85,14
43,57439,7619,1592,79,843,8,4818,36229,86,14
44,56858,7772,1572,82,815,7,4962,36696,93,14
45,56299,7919,1566,85,808,8,5092,37153,114,15
46,55727,8051,1513,89,789,6,5241,37629,111,16
47,55146,8199,1509,83,764,9,5357,38103,109,16
48,54574,8354,1496,80,752,8,5482,38568,109,16
49,54023,8481,1476,84,751,7,5597,39034,111,16
50,53461,8611,1429,78,719,6,5740,39509,113,16
51,52891,8754,1411,76,703,6,5857,39985,109,17
52,52325,8891,1386,74,691,6,5984,40459,108,18
53,51789,9008,1334,74,670,6,6117,40924,108,18
54,51201,9152,1349,77,672,4,6207,41408,100,18
55,50649,9273,1329,74,660,5,6315,41876,97,18
56,50104,9398,1301,71,650,5,6432,42340,85,18
57,49554,9534,1302,75,646,5,6536,42809,91,18
58,48987,9667,1304,74,628,4,6637,43294,96,18
59,48424,9800,1297,74,627,2,6753,43770,99,18
60,47871,9915,1263,69,611,2,6865,44250,96,18
61,47344,10027,1246,69,619,1,6959,44724,100,18
62,46801,10149,1246,75,618,0,7054,45191,104,18
63,46275,10269,1228,74,613,0,7158,45665,119,18
64,45734,10389,1205,71,618,0,7262,46138,116,18
65,45210,10481,1185,73,616,0,7343,46620,116,18
66,44700,10583,1125,69,580,0,7456,47088,98,18
