,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84281,264,264,0,0,0,0,15455,0,0
1,83736,312,312,0,0,0,0,15954,2,0
2,83160,394,394,0,0,0,0,16454,8,0
3,82587,481,481,0,0,0,0,16954,22,0
4,81990,597,595,0,0,0,0,17453,38,0
5,81376,723,715,0,0,0,0,17949,40,0
6,80728,888,866,35,275,0,0,18445,39,0
7,80101,1030,990,44,342,0,0,18941,32,0
8,79486,1166,1118,56,403,0,0,19435,39,0
9,78838,1331,1270,67,490,0,0,19933,41,0
10,78191,1494,1422,83,592,0,0,20429,42,0
11,77521,1687,1600,92,735,0,0,20922,43,0
12,76877,1859,1757,105,853,0,0,21417,51,0
13,76235,2031,1620,88,681,13,297,21913,65,0
14,75582,2228,1726,103,740,14,372,22398,78,0
15,74912,2445,1847,113,808,14,445,22881,85,0
16,74267,2632,1910,115,885,14,543,23369,89,0
17,73628,2811,1942,114,917,14,661,23855,86,0
18,72955,3025,1975,120,905,15,812,24344,86,0
19,72292,3234,2024,126,936,16,942,24831,89,0
20,71642,3432,2063,133,995,4,1068,25322,102,7
21,70996,3621,2071,123,1012,3,1218,25808,101,8
22,70363,3796,2065,114,1023,6,1366,26297,99,8
23,69709,4012,2065,117,1027,6,1543,26774,99,8
24,69071,4215,2090,118,1053,6,1692,27245,106,8
25,68424,4418,2115,118,1066,5,1839,27721,107,8
26,67793,4610,2099,118,1058,4,2008,28202,110,8
27,67157,4808,2073,106,1027,3,2196,28687,121,8
28,66515,5009,2087,101,1052,5,2351,29163,124,8
29,65864,5204,2084,105,1062,2,2506,29649,112,9
30,65240,5396,2046,115,1039,3,2689,30126,110,9
31,64630,5558,1998,111,1017,4,2864,30603,104,9
32,64001,5759,2010,112,1008,4,3023,31074,117,9
33,63425,5901,1947,116,1010,4,3183,31549,113,9
34,62819,6063,1936,120,1027,4,3327,32024,115,9
35,62220,6235,1886,122,995,2,3505,32492,113,10
36,61622,6403,1846,121,962,2,3672,32956,106,10
37,61018,6580,1822,111,959,3,3841,33427,119,11
38,60426,6735,1786,111,910,3,3991,33898,112,11
39,59844,6877,1746,108,893,6,4139,34370,110,11
40,59265,7015,1674,95,871,6,4305,34841,96,11
41,58670,7167,1627,89,846,6,4470,35318,95,11
42,58085,7316,1597,87,834,6,4617,35787,93,11
43,57513,7461,1581,80,829,8,4748,36251,99,11
44,56947,7599,1526,77,784,6,4906,36712,95,13
45,56374,7740,1535,70,798,5,5007,37181,100,14
46,55808,7886,1512,67,789,3,5139,37644,105,15
47,55241,8012,1479,67,777,4,5269,38116,102,15
48,54684,8140,1439,65,754,5,5402,38585,99,15
49,54139,8261,1388,66,729,7,5533,39053,95,15
50,53600,8377,1356,63,717,6,5654,39510,95,16
51,53038,8516,1353,60,715,6,5764,39986,106,16
52,52479,8629,1321,65,702,6,5872,40462,92,16
53,51946,8739,1286,68,676,6,5991,40925,94,16
54,51404,8845,1229,65,644,5,6111,41400,78,16
55,50868,8961,1212,69,621,4,6221,41861,82,16
56,50320,9090,1202,75,602,2,6331,42334,97,17
57,49790,9191,1169,76,585,1,6437,42801,92,18
58,49255,9307,1153,75,563,1,6542,43267,102,18
59,48725,9413,1116,70,547,1,6642,43738,91,18
60,48197,9525,1109,70,540,0,6738,44206,105,19
61,47644,9637,1101,73,539,1,6821,44683,91,19
62,47111,9762,1104,66,535,1,6911,45154,98,19
63,46562,9874,1084,55,529,1,7007,45637,94,19
64,46045,9974,1071,61,507,1,7097,46109,104,19
65,45521,10064,1040,56,506,1,7179,46579,88,19
66,44998,10165,1030,62,510,1,7258,47052,79,19
67,44491,10248,991,58,511,1,7347,47531,75,19
68,43991,10323,956,57,506,0,7434,48003,75,19
69,43498,10410,941,55,496,0,7513,48471,81,19
70,42981,10497,920,55,484,0,7592,48950,79,19
71,42465,10594,920,49,494,0,7666,49421,86,19
72,41969,10672,893,54,467,0,7742,49896,88,19
73,41451,10760,865,47,437,0,7831,50374,88,19
74,40967,10839,828,47,409,0,7917,50847,84,19
75,40439,10944,824,44,392,2,7995,51327,86,19
76,39951,11014,800,45,391,2,8062,51805,74,19
77,39477,11088,781,42,374,2,8129,52268,78,19
78,38977,11172,754,41,358,2,8207,52743,68,19
79,38497,11250,764,37,361,3,8260,53212,84,19
80,38026,11329,761,37,381,3,8312,53681,82,19
81,37547,11418,769,35,380,3,8370,54150,93,19
82,37055,11490,748,34,365,1,8430,54630,85,21
83,36565,11566,729,35,358,1,8497,55107,81,21
84,36095,11633,715,40,353,1,8544,55585,76,21
