,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84255,289,289,0,0,0,0,15456,0,0
1,83701,347,347,0,0,0,0,15956,4,0
2,83119,440,440,0,0,0,0,16455,14,0
3,82530,547,547,0,0,0,0,16954,31,0
4,81933,661,657,0,0,0,0,17452,42,0
5,81300,813,799,0,0,0,0,17951,50,0
6,80640,997,966,35,308,0,0,18449,55,0
7,79979,1191,1145,45,381,0,0,18940,64,0
8,79337,1349,1285,55,461,0,0,19437,59,0
9,78670,1547,1461,62,553,0,0,19931,62,0
10,78019,1729,1619,70,679,0,0,20427,65,0
11,77341,1936,1813,84,827,0,0,20917,71,0
12,76689,2108,1960,101,980,0,0,21414,63,0
13,76054,2277,1768,84,799,9,334,21906,62,0
14,75383,2485,1874,96,877,9,417,22402,76,0
15,74736,2678,1960,101,937,9,507,22895,98,0
16,74067,2886,2043,113,1014,9,606,23383,99,0
17,73427,3075,2066,117,1031,10,739,23871,103,0
18,72739,3312,2102,119,1010,10,901,24354,96,0
19,72085,3511,2104,118,1016,10,1071,24840,100,0
20,71439,3703,2105,118,1025,1,1222,25322,91,3
21,70800,3905,2102,112,1039,1,1395,25797,97,3
22,70173,4094,2106,113,1035,2,1549,26278,109,3
23,69534,4296,2092,118,1047,2,1737,26758,124,3
24,68882,4492,2094,124,1054,1,1892,27242,114,4
25,68234,4679,2095,124,1075,1,2035,27725,93,4
26,67593,4882,2081,123,1065,2,2209,28204,91,4
27,66966,5076,2093,119,1061,2,2363,28675,101,4
28,66333,5258,2073,118,1040,3,2543,29157,110,4
29,65716,5437,2059,113,1061,3,2694,29630,104,5
30,65082,5637,2017,102,1032,4,2898,30099,101,5
31,64466,5810,1992,96,1032,5,3065,30578,106,5
32,63848,5997,1981,97,1023,6,3228,31053,115,5
33,63249,6149,1935,90,1017,7,3391,31531,111,5
34,62639,6319,1924,95,1010,8,3536,32008,112,5
35,62021,6490,1892,100,1011,8,3695,32482,95,5
36,61442,6626,1828,103,977,7,3864,32956,95,5
37,60857,6773,1774,97,961,8,4027,33426,90,6
38,60273,6918,1729,95,922,7,4189,33903,101,7
39,59682,7078,1701,91,903,6,4346,34368,104,7
40,59077,7232,1671,102,885,5,4497,34843,96,8
41,58487,7390,1646,95,853,4,4642,35314,95,8
42,57905,7544,1600,87,811,3,4807,35778,95,9
43,57316,7707,1602,81,787,3,4944,36238,105,9
44,56765,7836,1549,84,767,1,5088,36699,104,10
45,56192,7982,1540,84,776,1,5209,37164,104,10
46,55620,8123,1514,78,770,1,5342,37633,104,10
47,55075,8250,1460,78,746,0,5487,38088,98,10
48,54498,8414,1485,76,772,0,5592,38546,105,10
49,53951,8539,1461,70,756,0,5707,39012,105,10
50,53393,8672,1457,70,761,0,5814,39475,106,10
51,52841,8809,1427,71,741,0,5940,39927,95,10
52,52295,8929,1383,69,710,0,6070,40391,88,10
53,51740,9059,1361,65,716,0,6191,40865,93,10
54,51192,9187,1340,59,693,1,6310,41330,98,10
