,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84246,293,293,0,0,0,0,15461,0,0
1,83682,366,366,0,0,0,0,15958,6,0
2,83112,452,452,0,0,0,0,16454,18,0
3,82537,542,542,0,0,0,0,16951,30,0
4,81942,656,650,0,0,0,0,17448,40,0
5,81306,808,790,0,0,0,0,17946,42,0
6,80687,953,923,36,324,0,0,18437,47,0
7,80062,1098,1052,41,393,0,0,18936,50,0
8,79442,1239,1179,47,465,0,0,19429,50,0
9,78823,1383,1306,61,549,0,0,19921,50,0
10,78181,1548,1452,67,681,0,0,20414,47,0
11,77539,1717,1607,79,797,0,0,20907,53,0
12,76921,1871,1744,93,909,0,0,21397,62,0
13,76277,2043,1551,70,699,11,349,21890,67,0
14,75632,2228,1644,74,748,13,421,22378,75,0
15,74995,2403,1715,92,801,13,499,22867,76,0
16,74347,2586,1780,95,849,14,596,23356,79,0
17,73697,2783,1812,103,831,15,733,23845,87,0
18,73065,2961,1836,103,854,16,860,24337,98,0
19,72419,3139,1864,116,872,16,986,24830,99,0
20,71763,3330,1883,117,892,7,1120,25324,92,2
21,71115,3533,1920,119,922,6,1246,25801,86,4
22,70480,3721,1934,110,943,6,1395,26286,99,4
23,69829,3917,1951,105,939,5,1545,26777,106,4
24,69185,4116,1989,107,962,4,1674,27253,105,4
25,68543,4316,2000,111,969,4,1825,27737,109,4
26,67898,4519,2011,100,994,5,1981,28221,115,4
27,67254,4718,2031,96,1000,5,2129,28697,115,4
28,66632,4910,2021,93,1004,4,2289,29165,111,4
29,65990,5104,2013,95,1009,5,2449,29646,102,4
30,65383,5264,2003,97,1025,6,2588,30131,109,4
31,64764,5443,1993,101,1029,8,2739,30610,110,4
32,64132,5635,1990,104,1032,8,2901,31083,110,4
33,63499,5812,1957,101,1018,7,3073,31569,102,4
34,62910,5973,1929,104,1026,7,3222,32037,103,5
35,62316,6131,1895,105,987,8,3381,32509,106,5
36,61696,6316,1881,100,964,7,3549,32984,116,6
37,61083,6492,1860,104,961,8,3706,33459,114,6
38,60494,6643,1813,100,951,7,3867,33930,111,7
39,59882,6803,1764,92,912,6,4036,34410,99,7
40,59285,6969,1738,98,874,6,4190,34884,104,7
41,58700,7119,1692,100,856,4,4352,35359,109,8
42,58110,7281,1705,101,871,5,4473,35837,127,8
43,57523,7450,1691,96,854,5,4613,36305,131,8
44,56949,7604,1648,90,833,5,4771,36770,133,9
45,56378,7759,1611,83,816,6,4917,37240,138,9
46,55814,7895,1579,85,805,6,5038,37712,131,9
47,55241,8043,1566,75,809,7,5159,38183,132,9
48,54671,8190,1519,72,789,9,5302,38651,122,9
49,54100,8318,1467,73,764,7,5442,39129,114,9
50,53537,8456,1446,72,751,7,5560,39592,104,9
51,52989,8570,1386,70,717,6,5693,40060,89,9
52,52419,8721,1380,74,697,4,5818,40525,98,9
53,51862,8857,1373,74,691,4,5930,41003,117,9
54,51298,8985,1359,67,678,4,6045,41472,117,10
55,50769,9090,1300,70,660,3,6168,41939,112,10
56,50214,9216,1262,69,635,3,6282,42411,98,10
57,49695,9318,1234,74,636,3,6386,42875,103,10
58,49172,9413,1196,73,627,2,6482,43340,92,11
59,48619,9530,1170,73,622,2,6589,43809,82,11
60,48077,9646,1149,67,591,2,6695,44285,81,11
61,47547,9739,1120,78,574,1,6792,44758,80,11
62,47032,9841,1088,72,544,0,6900,45230,92,11
63,46519,9925,1054,69,529,0,6988,45693,81,11
64,45985,10034,1029,74,505,0,7098,46167,87,11
65,45467,10136,1007,71,508,0,7184,46645,87,11
66,44944,10233,983,64,482,0,7286,47123,100,11
67,44434,10324,975,66,475,0,7355,47589,96,11
68,43925,10396,919,62,454,0,7445,48070,81,11
69,43418,10493,913,63,461,0,7516,48545,84,11
70,42927,10569,893,64,454,0,7586,49020,83,11
71,42406,10663,873,53,439,0,7677,49504,93,11
72,41912,10741,830,51,420,0,7763,49981,87,11
73,41432,10812,807,53,398,0,7832,50444,83,11
74,40921,10896,794,50,399,0,7896,50926,81,11
75,40402,10981,785,43,392,0,7961,51408,75,11
76,39911,11053,757,40,377,0,8040,51882,83,11
77,39419,11113,723,36,366,1,8103,52364,72,11
78,38933,11178,700,38,349,1,8168,52841,69,11
79,38445,11254,682,40,335,1,8233,53310,59,11
80,37945,11330,689,36,352,1,8282,53790,64,11
81,37452,11407,684,34,335,1,8344,54270,75,11
82,36978,11480,687,35,323,1,8395,54740,78,11
83,36471,11560,681,32,310,1,8456,55222,86,11
84,35972,11639,679,33,317,0,8506,55707,88,11
85,35478,11707,675,31,320,0,8556,56187,92,11
86,34989,11772,654,30,314,0,8609,56667,77,11
87,34504,11842,629,33,300,0,8671,57148,71,11
88,34002,11911,629,33,304,0,8714,57640,63,11
89,33514,11975,635,31,312,0,8754,58125,68,11
90,33006,12050,638,29,311,0,8799,58615,59,11
91,32520,12123,637,26,304,1,8855,59099,67,11
92,32040,12196,636,26,296,1,8906,59585,74,11
93,31560,12268,644,26,301,1,8952,60065,83,11
94,31077,12346,645,27,290,1,9003,60545,86,11
95,30603,12419,641,29,298,1,9050,61025,85,11
96,30139,12483,632,32,296,1,9096,61503,86,11
97,29675,12541,619,32,297,1,9138,61985,76,11
98,29204,12611,612,36,291,0,9186,62467,82,11
99,28732,12667,597,38,295,0,9229,62952,77,11
100,28270,12735,595,40,286,0,9280,63432,84,11
101,27813,12787,571,38,283,0,9321,63918,74,11
102,27358,12844,548,34,269,0,9378,64400,75,11
103,26893,12899,530,33,258,0,9425,64887,74,11
104,26429,12946,509,35,246,0,9468,65375,67,11
105,25955,13003,497,30,248,0,9513,65865,65,11
106,25491,13051,471,25,231,0,9562,66350,59,11
107,25033,13097,455,20,225,0,9606,66836,56,11
