,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84230,294,294,0,0,0,0,15476,0,0
1,83669,362,362,0,0,0,0,15975,6,0
2,83065,473,473,0,0,0,0,16471,9,0
3,82473,579,579,0,0,0,0,16970,22,0
4,81852,714,708,0,0,0,0,17469,29,0
5,81215,869,860,0,0,0,0,17965,40,0
6,80545,1067,1045,28,328,0,0,18460,50,0
7,79899,1231,1196,45,419,0,0,18957,52,0
8,79269,1379,1330,56,501,0,0,19452,51,0
9,78626,1545,1473,64,615,0,0,19948,47,0
10,77969,1727,1640,75,745,0,0,20442,51,0
11,77320,1911,1811,99,896,0,0,20932,63,0
12,76651,2118,1999,112,1032,0,0,21426,76,0
13,75988,2323,1840,99,824,11,345,21915,88,0
14,75350,2495,1881,96,866,13,451,22406,88,0
15,74704,2686,1948,100,932,14,543,22898,93,0
16,74049,2883,1992,111,958,14,665,23384,90,0
17,73406,3083,2028,108,995,16,804,23855,93,0
18,72767,3258,1993,105,997,18,977,24340,77,0
19,72116,3440,2000,116,984,20,1124,24829,69,0
20,71476,3620,2007,109,1010,10,1263,25320,72,6
21,70832,3814,2031,119,1022,8,1411,25801,82,7
22,70186,4016,2051,120,1030,9,1573,26285,102,7
23,69562,4198,2043,117,1028,9,1732,26765,109,7
24,68934,4374,2013,129,1003,9,1905,27248,109,9
25,68306,4566,1991,120,987,9,2079,27723,108,9
26,67678,4752,1992,115,1008,9,2225,28196,101,10
27,67054,4932,1986,117,1014,8,2380,28676,106,10
28,66415,5135,1982,109,997,9,2548,29147,102,10
29,65798,5307,1950,109,970,8,2721,29625,104,10
30,65158,5513,1966,116,962,8,2875,30099,108,10
31,64540,5688,1942,107,964,6,3039,30584,115,10
32,63911,5898,1970,108,958,6,3188,31050,129,10
33,63289,6072,1940,108,963,5,3352,31526,117,10
34,62696,6236,1901,114,934,6,3513,31991,111,10
35,62077,6422,1896,111,959,6,3657,32463,103,10
36,61491,6573,1874,109,949,6,3801,32930,107,11
37,60902,6739,1852,99,969,7,3953,33398,116,11
38,60300,6916,1835,109,950,7,4108,33866,120,11
39,59693,7091,1832,110,933,5,4254,34334,124,11
40,59101,7252,1779,107,915,4,4422,34797,111,12
41,58504,7407,1751,101,901,3,4561,35269,98,13
42,57907,7576,1718,101,856,3,4727,35736,101,13
43,57312,7729,1705,94,864,2,4861,36208,97,13
44,56730,7896,1678,93,841,1,5025,36665,105,13
45,56147,8052,1649,79,838,1,5171,37134,106,13
46,55563,8208,1649,76,838,1,5299,37603,114,13
47,55005,8348,1604,79,818,1,5446,38067,115,13
48,54427,8502,1599,82,821,1,5565,38538,120,13
49,53870,8632,1572,80,831,1,5685,39006,116,14
50,53316,8752,1519,82,811,1,5819,39473,104,14
51,52762,8886,1469,83,791,1,5958,39941,98,14
52,52203,9018,1440,87,759,1,6087,40409,100,14
53,51659,9144,1415,94,736,2,6211,40874,107,14
54,51111,9280,1382,82,716,2,6341,41333,100,14
