,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84228,315,315,0,0,0,0,15457,0,0
1,83661,391,391,0,0,0,0,15955,7,0
2,83080,482,482,0,0,0,0,16452,14,0
3,82488,583,583,0,0,0,0,16949,20,0
4,81863,720,713,0,0,0,0,17449,25,0
5,81219,884,870,0,0,0,0,17948,37,0
6,80590,1043,1023,36,348,0,0,18443,56,0
7,79974,1179,1147,40,428,0,0,18938,59,0
8,79343,1336,1285,49,514,0,0,19433,61,0
9,78716,1492,1416,59,629,0,0,19926,58,0
10,78074,1674,1583,71,762,0,0,20416,73,0
11,77419,1859,1747,84,883,0,0,20909,75,0
12,76784,2041,1907,97,991,0,0,21394,85,0
13,76136,2221,1686,75,765,13,371,21883,76,0
14,75463,2434,1792,81,809,13,455,22375,85,0
15,74807,2636,1867,85,862,13,550,22854,78,0
16,74166,2808,1896,85,899,16,672,23347,81,0
17,73538,2980,1893,83,906,18,815,23835,81,0
18,72884,3169,1925,86,928,20,947,24324,80,0
19,72245,3349,1961,93,981,21,1067,24810,83,0
20,71594,3543,1974,105,1010,8,1209,25300,84,7
21,70948,3728,2004,109,1020,11,1340,25786,85,7
22,70319,3899,1996,107,1010,11,1492,26277,91,7
23,69703,4070,1970,122,998,9,1655,26762,98,8
24,69066,4255,1978,129,994,7,1807,27246,105,8
25,68427,4453,1984,130,995,7,1966,27723,108,8
26,67796,4640,1951,126,978,8,2145,28201,102,9
27,67193,4819,1923,116,949,10,2320,28673,118,9
28,66585,4982,1900,116,932,8,2469,29149,113,10
29,65972,5149,1895,124,937,10,2607,29625,109,10
30,65338,5338,1871,125,933,10,2771,30107,98,11
31,64726,5500,1851,128,930,12,2922,30585,95,11
32,64120,5673,1834,127,901,13,3081,31051,98,12
33,63527,5835,1798,127,873,12,3240,31524,103,14
34,62909,6017,1816,119,880,14,3375,32003,118,15
35,62289,6188,1822,121,899,13,3507,32475,108,15
36,61690,6360,1797,112,889,11,3661,32940,104,16
37,61087,6546,1777,103,876,10,3823,33406,110,17
38,60470,6734,1787,98,848,8,3978,33879,131,17
39,59880,6896,1777,90,864,5,4111,34351,137,18
40,59285,7072,1773,88,882,6,4242,34819,137,18
41,58677,7236,1752,98,869,2,4383,35299,127,18
42,58079,7427,1748,100,852,3,4534,35762,137,18
43,57508,7577,1715,105,857,3,4668,36222,126,18
44,56925,7747,1711,105,835,3,4808,36690,142,18
45,56319,7920,1711,96,851,4,4927,37163,123,18
46,55722,8095,1710,98,840,5,5065,37629,124,18
47,55124,8265,1682,95,832,5,5212,38109,122,19
48,54531,8444,1692,91,814,5,5346,38576,134,19
49,53958,8599,1670,87,801,4,5484,39048,145,19
50,53356,8774,1653,81,801,4,5628,39526,145,19
51,52808,8902,1616,78,822,4,5746,39994,138,19
52,52242,9039,1575,86,809,3,5874,40467,126,19
53,51683,9170,1528,85,812,3,6004,40941,117,19
54,51130,9295,1474,85,780,1,6143,41408,107,19
55,50577,9417,1446,82,798,1,6255,41882,101,19
56,50041,9526,1397,76,772,2,6374,42352,96,19
57,49508,9637,1340,82,727,2,6512,42829,105,19
58,48980,9743,1278,77,688,2,6648,43301,113,19
59,48452,9845,1224,67,671,2,6770,43769,110,19
60,47895,9976,1183,64,632,1,6902,44239,106,20
61,47370,10065,1127,65,601,1,7007,44710,92,20
62,46869,10142,1048,62,549,3,7132,45185,91,20
63,46346,10241,1023,67,522,2,7221,45659,86,20
64,45840,10330,987,58,503,2,7320,46126,88,20
65,45337,10413,948,57,508,2,7412,46598,77,20
66,44847,10499,910,63,470,3,7506,47057,79,20
67,44344,10578,871,62,428,3,7596,47522,70,20
68,43836,10659,858,61,423,3,7671,48002,78,20
69,43327,10748,841,60,413,1,7745,48472,74,20
70,42806,10840,848,52,419,1,7811,48941,80,20
71,42306,10919,829,48,406,1,7882,49411,78,20
72,41786,11015,801,46,372,1,7978,49885,75,20
73,41287,11116,813,45,364,0,8041,50355,91,21
74,40780,11201,826,44,379,0,8088,50832,100,21
75,40267,11296,827,38,383,0,8157,51309,104,21
76,39795,11366,795,44,370,0,8218,51779,85,21
77,39287,11458,789,44,377,0,8282,52258,85,21
78,38798,11527,775,52,375,0,8336,52733,79,21
79,38279,11621,787,54,364,0,8396,53211,79,21
80,37788,11715,793,53,377,0,8450,53688,82,21
81,37305,11788,782,57,360,0,8511,54164,89,21
82,36816,11870,775,55,353,0,8578,54643,104,21
83,36313,11958,772,42,358,0,8632,55122,95,21
84,35824,12031,744,46,355,0,8703,55598,89,21
85,35323,12122,738,41,357,0,8763,56081,79,21
86,34838,12188,725,37,353,0,8814,56565,71,21
87,34325,12278,725,32,337,0,8880,57050,72,21
88,33846,12351,723,30,351,0,8928,57533,74,21
89,33366,12431,725,34,338,0,8986,58003,85,21
90,32892,12504,727,42,348,0,9032,58489,95,21
91,32418,12573,695,40,324,0,9104,58958,90,21
92,31947,12633,668,39,333,1,9160,59437,83,21
93,31475,12697,654,39,334,1,9203,59917,73,21
94,31027,12755,643,38,339,1,9248,60390,75,21
95,30559,12821,625,35,320,1,9308,60870,78,21
96,30095,12873,603,32,319,1,9357,61356,73,21
97,29647,12914,554,25,298,1,9421,61837,64,21
98,29187,12965,532,19,297,1,9467,62323,58,21
99,28720,13013,494,16,267,0,9532,62807,55,22
100,28257,13064,484,17,261,0,9576,63287,54,22
101,27798,13119,469,17,244,0,9625,63775,56,22
102,27326,13167,462,18,229,0,9663,64260,56,22
103,26854,13223,457,17,215,0,9708,64741,59,22
104,26385,13286,461,21,206,0,9744,65228,58,22
105,25925,13346,465,23,200,0,9783,65710,67,22
106,25471,13401,469,28,195,0,9815,66194,75,22
107,25017,13456,463,25,190,0,9854,66678,80,22
108,24552,13531,480,27,193,0,9886,67166,87,22
109,24088,13577,475,26,211,0,9910,67649,78,22
