,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84237,318,318,0,0,0,0,15445,0,0
1,83673,393,393,0,0,0,0,15943,9,0
2,83112,472,472,0,0,0,0,16440,24,0
3,82514,584,584,0,0,0,0,16939,37,0
4,81910,705,696,0,0,0,0,17435,41,0
5,81289,845,821,0,0,0,0,17930,40,0
6,80623,1026,989,39,345,0,0,18427,39,0
7,79991,1169,1119,46,402,0,0,18924,34,0
8,79354,1324,1260,57,490,0,0,19422,36,0
9,78718,1489,1413,66,589,0,0,19915,46,0
10,78114,1618,1534,84,697,0,0,20407,55,0
11,77479,1786,1686,101,849,0,0,20900,65,0
12,76836,1964,1842,117,968,0,0,21391,69,0
13,76197,2146,1640,91,749,17,367,21880,84,0
14,75563,2305,1711,100,819,19,429,22370,73,0
15,74931,2475,1762,95,837,25,522,22860,75,0
16,74316,2642,1791,100,866,27,628,23345,80,0
17,73705,2803,1816,92,900,32,749,23831,101,0
18,73086,2964,1788,94,879,40,910,24319,103,0
19,72440,3147,1802,90,892,43,1042,24801,85,0
20,71829,3307,1776,90,895,32,1189,25281,78,3
21,71217,3470,1771,91,881,37,1327,25765,83,3
22,70618,3620,1787,97,888,34,1439,26251,101,6
23,70018,3766,1772,96,878,44,1571,26734,101,6
24,69392,3948,1771,102,884,48,1718,27212,100,7
25,68813,4079,1713,94,873,46,1870,27683,86,7
26,68219,4224,1689,99,852,50,2008,28161,86,9
27,67627,4374,1659,94,828,46,2153,28633,82,10
28,67018,4539,1669,86,823,44,2283,29112,94,12
29,66446,4671,1652,83,849,49,2401,29586,99,14
30,65880,4798,1609,82,827,40,2536,30060,104,19
31,65306,4934,1548,78,783,42,2694,30530,101,23
32,64714,5086,1533,81,769,40,2826,30997,94,24
33,64134,5228,1511,76,776,39,2955,31468,92,24
34,63562,5356,1497,75,762,42,3065,31944,92,24
35,62998,5489,1485,77,735,41,3181,32410,100,26
36,62445,5615,1429,82,686,40,3323,32867,97,33
37,61900,5714,1387,83,702,39,3431,33335,87,34
38,61346,5833,1347,83,695,31,3550,33800,82,39
39,60786,5947,1310,78,676,30,3669,34272,78,41
40,60234,6051,1263,73,649,31,3796,34745,81,43
41,59678,6178,1263,76,644,32,3892,35216,91,44
42,59124,6297,1263,72,633,31,3984,35685,99,45
43,58561,6429,1262,69,621,27,4091,36166,120,46
44,58008,6538,1210,67,586,31,4211,36637,105,47
45,57466,6653,1183,64,559,32,4317,37098,100,49
46,56922,6768,1154,63,551,30,4414,37571,94,50
47,56366,6873,1132,64,537,26,4513,38052,95,53
