,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84246,291,291,0,0,0,0,15463,0,0
1,83679,369,369,0,0,0,0,15961,9,0
2,83102,457,457,0,0,0,0,16459,18,0
3,82507,561,561,0,0,0,0,16958,26,0
4,81892,686,677,0,0,0,0,17455,24,0
5,81263,838,820,0,0,0,0,17953,36,0
6,80601,1026,1000,31,329,0,0,18449,50,0
7,79973,1170,1137,38,401,0,0,18943,53,0
8,79341,1323,1269,45,490,0,0,19439,49,0
9,78715,1474,1398,54,599,0,0,19935,48,0
10,78090,1623,1537,59,725,0,0,20430,57,0
11,77459,1778,1675,71,879,0,0,20924,58,0
12,76833,1925,1801,94,990,0,0,21419,53,0
13,76179,2106,1615,77,783,12,348,21912,54,0
14,75535,2277,1690,86,825,13,426,22399,50,0
15,74880,2459,1761,86,859,14,521,22894,56,0
16,74247,2653,1818,91,873,15,638,23375,78,0
17,73589,2862,1882,93,871,15,769,23865,105,0
18,72941,3047,1881,97,862,17,933,24349,104,0
19,72268,3263,1922,86,896,18,1066,24837,93,0
20,71631,3444,1917,83,923,9,1206,25324,83,5
21,71010,3612,1933,84,944,8,1336,25804,89,6
22,70360,3808,1967,94,972,7,1467,26289,89,6
23,69711,4003,1995,103,990,8,1603,26771,86,6
24,69078,4182,2017,117,1030,9,1733,27257,91,6
25,68461,4346,1989,119,1017,9,1893,27740,90,7
26,67812,4541,1999,124,996,9,2049,28219,87,8
27,67178,4732,1997,123,1002,8,2209,28696,89,9
28,66537,4929,2013,129,1011,9,2360,29174,93,9
29,65905,5121,2012,124,995,9,2528,29655,109,9
30,65269,5322,2013,123,966,7,2692,30127,112,11
31,64630,5512,1983,123,951,6,2877,30610,112,12
32,63983,5718,1999,119,962,7,3025,31092,112,13
33,63361,5897,1999,125,978,6,3167,31572,112,13
34,62752,6075,1976,132,957,4,3334,32045,120,13
35,62124,6286,1980,131,955,5,3499,32513,130,14
36,61514,6463,1974,135,960,6,3645,32982,129,14
37,60898,6653,1988,128,998,6,3779,33451,130,14
38,60288,6841,1955,120,978,6,3949,33918,124,14
39,59650,7054,1972,124,953,3,4108,34390,135,15
40,59046,7228,1940,116,958,3,4271,34862,134,15
41,58444,7394,1912,112,952,5,4420,35338,128,15
42,57834,7568,1875,112,935,5,4583,35821,127,16
43,57232,7744,1853,117,917,5,4739,36288,123,16
44,56637,7926,1831,121,914,5,4904,36748,129,16
45,56056,8083,1800,117,908,5,5046,37213,122,16
46,55456,8241,1784,113,903,5,5182,37684,110,16
47,54869,8416,1754,111,873,5,5342,38146,109,16
48,54304,8563,1719,118,863,3,5484,38615,116,17
49,53746,8715,1696,104,867,1,5631,39071,131,19
50,53166,8868,1661,101,845,0,5774,39543,122,20
51,52581,9024,1605,95,817,0,5940,40013,108,20
52,52038,9147,1555,98,813,0,6072,40475,101,20
53,51474,9291,1538,97,788,1,6198,40948,109,20
54,50938,9411,1498,95,773,1,6326,41412,116,20
55,50369,9551,1467,82,766,2,6463,41878,115,20
56,49829,9683,1419,88,747,2,6600,42342,116,20
57,49286,9809,1388,80,726,2,6718,42805,107,20
58,48731,9950,1364,82,693,2,6850,43272,112,20
59,48191,10064,1304,85,640,3,6980,43738,97,20
60,47656,10182,1290,89,642,2,7082,44201,100,20
61,47108,10313,1273,83,625,3,7192,44670,99,20
62,46579,10443,1255,84,602,2,7311,45139,116,20
