,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84241,305,305,0,0,0,0,15454,0,0
1,83695,358,358,0,0,0,0,15952,5,0
2,83136,427,427,0,0,0,0,16450,13,0
3,82554,519,519,0,0,0,0,16949,22,0
4,81944,641,636,0,0,0,0,17447,27,0
5,81322,787,774,0,0,0,0,17939,35,0
6,80703,930,908,26,327,0,0,18434,45,0
7,80083,1073,1041,33,381,0,0,18923,47,0
8,79459,1225,1177,43,454,0,0,19416,52,0
9,78824,1387,1320,58,551,0,0,19906,50,0
10,78207,1528,1449,67,672,0,0,20401,57,0
11,77567,1698,1598,76,787,0,0,20893,58,0
12,76907,1894,1777,87,907,0,0,21385,69,0
13,76271,2067,1598,75,697,20,333,21877,79,0
14,75624,2252,1703,82,774,23,391,22367,85,0
15,74992,2425,1765,82,813,23,474,22856,87,0
16,74341,2614,1813,83,848,23,586,23348,88,0
17,73682,2807,1849,93,876,24,715,23839,85,0
18,73044,2983,1871,103,886,24,839,24332,86,0
19,72416,3152,1879,107,908,24,970,24824,89,0
20,71740,3370,1921,106,921,4,1116,25311,93,5
21,71085,3574,1948,107,934,3,1261,25794,94,6
22,70454,3743,1964,117,970,5,1381,26282,87,6
23,69809,3946,1990,110,974,5,1529,26759,93,6
24,69181,4132,1977,106,946,6,1696,27232,92,6
25,68540,4335,2010,111,986,6,1840,27707,103,6
26,67892,4531,2014,118,994,6,1997,28193,102,6
27,67262,4714,2025,120,992,8,2138,28669,100,6
28,66633,4904,2017,126,995,6,2299,29149,104,6
29,66003,5093,2003,119,989,5,2467,29622,102,7
30,65342,5306,2043,129,1000,6,2611,30106,109,7
31,64729,5483,2042,130,1025,5,2748,30577,103,7
32,64104,5679,2019,123,997,7,2935,31049,114,7
33,63489,5845,1979,115,982,9,3105,31526,106,7
34,62867,6042,1996,111,1000,7,3250,32002,122,7
35,62241,6242,1987,103,1017,9,3416,32474,125,7
36,61658,6386,1948,107,1000,9,3571,32949,133,7
37,61041,6563,1910,105,989,11,3734,33429,122,8
38,60437,6711,1850,101,969,11,3896,33911,102,8
39,59849,6869,1817,98,964,10,4050,34379,104,9
40,59262,7030,1789,99,968,10,4199,34842,101,9
41,58681,7176,1755,106,912,13,4353,35322,116,9
42,58097,7331,1694,104,874,12,4530,35787,110,10
43,57517,7477,1662,92,866,13,4671,36259,109,10
44,56954,7620,1609,93,832,11,4825,36720,104,11
45,56394,7753,1572,92,819,11,4963,37188,109,11
46,55820,7886,1524,89,781,12,5107,37662,105,12
47,55247,8031,1478,90,749,11,5262,38128,104,12
48,54695,8158,1459,84,757,10,5371,38595,96,12
49,54132,8290,1423,85,726,11,5507,39071,102,12
50,53566,8438,1412,92,693,9,5631,39539,107,12
51,53011,8571,1397,79,687,10,5750,40005,118,12
52,52452,8711,1376,79,673,11,5873,40479,125,12
53,51903,8845,1363,79,666,9,5980,40944,123,12
54,51363,8969,1323,72,644,8,6104,41403,117,12
55,50825,9096,1295,72,642,8,6213,41861,111,13
56,50287,9206,1258,67,633,6,6321,42333,105,14
57,49741,9315,1237,65,634,6,6417,42803,97,14
58,49201,9422,1205,68,626,7,6517,43275,87,14
59,48689,9508,1149,69,605,7,6625,43742,88,16
60,48171,9601,1118,67,597,7,6723,44213,92,16
61,47652,9699,1093,64,584,7,6817,44685,101,16
62,47146,9782,1033,59,564,5,6926,45148,93,17
63,46637,9862,990,59,549,5,7019,45620,90,17
64,46105,9952,947,55,511,5,7114,46098,75,17
65,45581,10051,924,53,480,4,7210,46568,80,18
66,45052,10133,887,48,455,2,7302,47046,74,18
67,44544,10222,865,46,427,2,7390,47513,80,18
68,44033,10315,850,44,404,2,7468,47990,84,18
69,43523,10388,819,44,388,2,7551,48470,84,18
70,43006,10488,813,38,385,3,7628,48940,83,18
71,42494,10558,796,36,395,3,7681,49418,71,18
72,41989,10633,785,43,385,1,7746,49891,73,18
73,41497,10704,768,42,385,1,7806,50374,69,18
74,40999,10768,753,43,378,2,7863,50854,70,18
75,40507,10830,739,44,396,2,7916,51333,65,18
76,39997,10909,727,47,374,2,7983,51814,63,18
77,39510,10976,701,51,353,1,8053,52291,65,18
78,38997,11060,706,54,336,1,8114,52775,66,18
79,38507,11129,693,43,328,1,8174,53251,70,18
80,38005,11193,673,44,312,1,8233,53734,66,18
81,37517,11270,678,44,317,0,8286,54212,80,18
82,37017,11349,659,44,287,0,8358,54697,90,18
83,36522,11415,656,37,311,0,8406,55181,97,18
84,36012,11486,642,39,300,0,8458,55671,81,18
85,35510,11558,631,37,298,0,8505,56156,70,18
86,35028,11618,622,39,299,0,8546,56639,62,18
87,34533,11678,621,38,299,0,8590,57129,64,18
88,34021,11748,609,34,284,0,8647,57616,61,18
89,33524,11818,617,36,294,0,8689,58098,63,18
90,33058,11884,599,38,274,0,8754,58572,71,18
91,32573,11953,603,34,275,0,8797,59061,77,18
92,32088,12013,598,38,269,0,8840,59554,77,18
93,31604,12080,594,39,272,0,8884,60040,76,18
94,31127,12147,590,39,277,0,8927,60528,76,18
95,30658,12194,577,41,276,0,8965,61011,70,18
96,30174,12261,564,37,267,0,9019,61494,73,18
97,29701,12313,541,37,258,0,9066,61978,67,18
98,29244,12359,531,35,261,0,9106,62455,72,18
99,28780,12416,518,31,263,0,9147,62943,66,18
100,28316,12466,498,30,247,0,9195,63426,67,18
101,27847,12519,482,29,238,0,9243,63918,72,18
102,27381,12567,468,25,233,0,9282,64405,65,18
103,26913,12617,454,26,216,0,9323,64898,65,18
104,26436,12663,436,24,214,0,9361,65392,54,18
105,25960,12723,439,26,198,0,9402,65881,68,18
106,25474,12774,428,24,188,0,9441,66374,57,18
107,24993,12822,430,25,188,0,9472,66869,55,18
108,24522,12870,410,24,178,0,9510,67361,49,18
109,24061,12922,420,27,176,0,9540,67854,63,18
110,23595,12978,438,26,182,0,9565,68344,72,18
111,23146,13026,428,26,187,0,9599,68830,71,18
112,22689,13086,435,26,195,0,9626,69310,75,18
113,22234,13132,432,25,193,0,9653,69798,71,18
114,21767,13178,423,23,189,0,9685,70286,62,18
115,21304,13233,421,20,199,0,9712,70773,55,18
116,20834,13280,419,17,196,0,9743,71259,55,18
117,20381,13325,420,19,194,0,9773,71746,66,18
118,19934,13389,422,20,182,0,9812,72239,72,18
119,19473,13439,419,18,181,0,9847,72732,78,18
120,19005,13499,430,21,186,0,9871,73222,77,18
121,18545,13551,427,19,191,0,9897,73709,72,18
122,18094,13594,412,19,177,0,9931,74201,65,18
123,17624,13646,415,21,185,0,9956,74691,63,18
124,17152,13686,401,19,183,0,9986,75181,57,18
125,16682,13731,401,22,188,0,10014,75676,61,18
126,16211,13780,396,26,180,0,10046,76171,62,18
127,15753,13829,395,22,178,0,10078,76661,69,18
128,15285,13874,390,25,176,0,10107,77153,71,18
129,14817,13918,391,27,176,0,10127,77647,70,18
130,14431,13964,377,26,166,0,10162,78039,63,18
131,14401,14013,377,28,164,0,10188,78039,59,18
132,14373,14065,371,26,154,0,10224,78039,61,18
133,14349,14112,372,24,150,0,10252,78039,66,18
134,14324,14157,372,27,143,0,10278,78039,67,18
135,14296,14206,367,26,142,0,10308,78039,64,18
136,14276,14249,365,25,151,0,10330,78039,64,18
137,14253,14286,358,25,155,0,10354,78039,58,18
138,14231,14325,350,23,155,0,10380,78039,54,18
139,14207,14368,346,19,160,0,10404,78039,50,18
140,14187,14404,346,19,166,0,10426,78039,52,18
141,14166,14454,357,18,165,0,10448,78039,64,18
142,14145,14491,347,16,162,0,10476,78039,61,18
143,14127,14534,344,18,152,0,10506,78039,70,18
144,14111,14565,318,18,148,0,10534,78039,56,18
145,14102,14590,303,17,145,0,10558,78039,56,18
146,14080,14627,290,18,140,0,10583,78039,46,18
147,14062,14661,281,19,132,0,10611,78039,47,18
148,14037,14706,290,16,133,0,10631,78039,51,18
149,14027,14731,277,17,125,0,10654,78039,51,18
150,14002,14770,278,13,116,0,10676,78039,49,18
151,13984,14792,256,13,114,0,10700,78039,33,18
152,13965,14831,260,12,113,0,10720,78039,38,18
153,13949,14867,261,10,119,0,10741,78039,44,18
154,13930,14896,265,7,111,0,10762,78039,50,18
155,13907,14930,261,7,118,0,10780,78039,41,18
156,13891,14961,256,7,120,0,10796,78039,36,18
157,13868,15000,276,8,129,0,10805,78039,42,18
158,13854,15026,269,5,126,0,10827,78039,43,18
159,13842,15049,259,5,127,0,10845,78039,39,18
160,13823,15078,247,9,121,0,10870,78039,33,18
161,13799,15116,263,9,127,0,10880,78039,35,18
162,13784,15147,258,10,124,0,10905,78039,40,18
163,13766,15179,262,9,121,0,10923,78039,44,18
164,13749,15209,259,11,112,0,10942,78039,43,18
165,13727,15246,264,15,111,0,10958,78039,42,18
166,13702,15289,274,17,114,0,10977,78039,46,18
167,13684,15324,273,17,106,0,11000,78039,50,18
168,13661,15367,285,18,107,0,11016,78039,55,18
169,13644,15406,283,17,102,0,11039,78039,59,18
170,13629,15446,292,17,110,0,11053,78039,67,18
171,13610,15480,294,19,121,0,11065,78039,62,18
172,13576,15533,306,15,124,0,11084,78039,59,18
173,13550,15579,303,16,122,0,11108,78039,54,18
174,13534,15616,310,12,128,0,11123,78039,60,18
175,13517,15650,307,12,125,0,11141,78039,58,18
176,13504,15677,297,14,125,0,11158,78039,52,18
177,13491,15704,281,14,137,0,11180,78039,45,18
178,13480,15733,268,12,140,0,11205,78039,46,18
179,13462,15765,268,12,138,0,11223,78039,46,18
180,13442,15800,266,10,134,0,11246,78039,47,18
181,13425,15821,252,10,130,0,11263,78039,33,18
182,13405,15859,261,11,127,0,11278,78039,37,18
183,13385,15889,257,11,119,0,11297,78039,32,18
184,13376,15908,238,12,102,0,11331,78039,38,18
185,13362,15928,214,11,97,0,11357,78039,26,18
186,13343,15964,224,13,96,0,11373,78039,33,18
187,13329,15989,222,12,100,0,11390,78039,34,18
188,13307,16022,236,14,105,0,11403,78039,39,18
189,13291,16048,232,11,104,0,11416,78039,32,18
190,13276,16077,239,10,108,0,11427,78039,35,18
191,13269,16097,230,8,111,0,11445,78039,37,18
192,13258,16120,223,7,106,0,11465,78039,39,18
193,13245,16143,215,6,112,0,11482,78039,35,18
194,13231,16162,201,7,107,0,11502,78039,27,18
195,13219,16180,187,6,103,0,11522,78039,21,18
196,13204,16203,191,7,100,0,11531,78039,19,18
197,13191,16226,195,7,97,0,11545,78039,24,18
198,13179,16250,194,9,89,0,11564,78039,30,18
199,13167,16274,196,10,88,0,11578,78039,34,18
200,13154,16297,187,11,77,0,11600,78039,34,18
201,13140,16318,180,12,75,0,11616,78039,29,18
202,13126,16349,184,11,74,0,11631,78039,34,18
203,13117,16370,188,12,78,0,11638,78039,36,18
204,13103,16389,189,15,76,0,11649,78039,34,18
205,13095,16410,180,13,78,0,11662,78039,30,18
206,13077,16446,190,14,77,0,11676,78039,36,18
207,13057,16475,202,14,79,0,11688,78039,40,18
208,13045,16497,196,12,75,0,11703,78039,37,18
209,13035,16522,190,15,73,0,11716,78039,34,18
210,13017,16558,205,13,71,0,11728,78039,43,18
211,13003,16588,213,13,77,0,11740,78039,49,18
212,12986,16615,212,13,84,0,11753,78039,44,18
213,12971,16636,201,11,84,0,11767,78039,32,18
214,12962,16654,189,9,82,0,11781,78039,25,18
215,12945,16680,196,10,90,0,11790,78039,24,18
216,12928,16705,201,10,90,0,11804,78039,26,18
217,12912,16735,214,12,97,0,11812,78039,31,18
218,12899,16760,212,9,97,0,11830,78039,34,18
219,12887,16783,207,10,85,0,11850,78039,37,18
220,12873,16814,212,9,91,0,11862,78039,40,18
221,12847,16848,224,9,98,0,11872,78039,36,18
222,12833,16877,224,11,94,0,11890,78039,40,18
223,12823,16899,215,11,93,0,11904,78039,35,18
224,12809,16922,213,11,88,0,11921,78039,36,18
225,12795,16945,206,11,87,0,11936,78039,30,18
226,12781,16969,209,12,103,0,11945,78039,28,18
227,12765,16993,207,15,97,0,11962,78039,27,18
228,12749,17023,211,17,88,0,11979,78039,32,18
229,12738,17050,212,15,88,0,11995,78039,38,18
230,12724,17084,225,14,90,0,12008,78039,50,18
231,12705,17125,240,12,94,0,12020,78039,58,18
232,12690,17152,237,13,95,0,12034,78039,54,18
233,12676,17179,218,13,85,0,12060,78039,47,18
234,12665,17206,209,11,84,0,12074,78039,41,18
235,12653,17227,208,10,89,0,12084,78039,38,18
236,12638,17256,210,9,95,0,12098,78039,39,18
