,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84238,319,319,0,0,0,0,15443,0,0
1,83671,396,396,0,0,0,0,15942,9,0
2,83087,492,492,0,0,0,0,16438,17,0
3,82505,594,594,0,0,0,0,16930,29,0
4,81885,734,725,0,0,0,0,17427,37,0
5,81248,901,884,0,0,0,0,17924,56,0
6,80586,1095,1066,49,338,0,0,18420,72,0
7,79970,1230,1184,54,421,0,0,18915,69,0
8,79336,1393,1320,66,499,0,0,19404,60,0
9,78708,1541,1440,79,609,0,0,19900,48,0
10,78078,1700,1585,96,732,0,0,20392,55,0
11,77433,1879,1746,108,886,0,0,20885,64,0
12,76793,2060,1911,118,997,0,0,21378,82,0
13,76152,2230,1691,85,788,18,369,21870,82,0
14,75513,2420,1770,97,820,22,453,22352,88,0
15,74882,2590,1820,101,864,26,539,22838,79,0
16,74239,2786,1881,98,896,35,653,23324,97,0
17,73594,2971,1894,95,906,36,792,23809,89,0
18,72937,3176,1915,98,886,43,951,24291,94,0
19,72326,3346,1930,102,918,48,1067,24765,88,0
20,71679,3527,1926,104,916,33,1221,25250,82,6
21,71053,3708,1941,99,946,29,1355,25728,85,8
22,70420,3885,1945,99,968,27,1495,26207,75,8
23,69783,4070,1956,106,984,24,1647,26684,81,11
24,69162,4241,1951,112,968,28,1790,27164,78,11
25,68545,4408,1945,112,981,27,1939,27646,87,12
26,67928,4592,1949,114,970,29,2092,28116,99,14
27,67336,4752,1938,108,985,33,2233,28589,110,14
28,66748,4901,1906,107,989,41,2382,29067,117,14
29,66179,5028,1840,101,976,45,2537,29541,112,15
30,65581,5190,1784,102,935,43,2711,30019,113,18
31,65010,5328,1753,98,949,50,2841,30483,105,18
32,64438,5467,1700,90,914,52,2999,30954,111,20
33,63884,5612,1655,82,884,52,3145,31405,111,22
34,63347,5725,1584,86,821,53,3296,31866,117,24
35,62763,5865,1523,87,780,50,3455,32338,107,28
36,62195,5998,1472,90,743,49,3593,32805,97,32
37,61625,6125,1432,78,721,54,3721,33277,89,34
38,61065,6259,1383,71,684,46,3872,33734,92,38
39,60479,6398,1375,72,640,50,3983,34210,89,42
40,59918,6526,1365,76,638,51,4088,34683,100,46
41,59389,6630,1340,68,652,48,4183,35144,100,49
42,58835,6743,1302,65,633,46,4305,35615,100,49
43,58284,6862,1276,63,631,48,4409,36083,93,50
44,57737,6969,1249,72,631,46,4509,36554,91,53
45,57190,7069,1219,71,617,48,4610,37034,86,53
46,56644,7175,1205,71,614,37,4695,37505,81,55
47,56108,7267,1152,70,587,33,4808,37980,79,58
48,55559,7378,1136,66,576,31,4910,38450,84,59
49,55021,7477,1110,65,557,32,5006,38921,83,60
50,54484,7575,1074,67,528,28,5112,39393,85,61
51,53966,7673,1027,58,505,22,5225,39856,91,64
52,53435,7761,997,64,476,19,5313,40332,90,67
53,52914,7854,992,67,482,23,5382,40791,84,67
54,52401,7932,949,61,476,21,5465,41263,76,70
55,51869,8023,928,62,458,21,5550,41747,81,71
56,51334,8105,908,62,443,20,5627,42237,81,73
57,50812,8194,894,57,434,20,5702,42715,85,74
58,50281,8276,871,58,425,24,5776,43194,75,74
59,49754,8368,875,47,422,24,5841,43670,78,74
60,49242,8452,846,40,407,24,5922,44138,72,75
61,48728,8523,829,41,393,29,5988,44618,72,76
62,48207,8608,817,41,382,27,6057,45096,72,78
63,47688,8697,817,46,375,26,6121,45572,71,78
64,47176,8776,813,42,383,26,6183,46042,70,78
65,46659,8863,805,40,374,27,6252,46528,76,78
66,46139,8951,818,42,371,27,6301,47015,84,80
67,45615,9043,830,42,370,27,6360,47493,93,81
68,45089,9133,823,44,374,21,6421,47976,90,85
69,44569,9220,821,43,376,22,6477,48458,86,86
70,44045,9316,827,36,377,22,6536,48940,90,88
71,43535,9393,811,34,369,24,6599,49428,91,89
72,43028,9465,795,42,365,23,6656,49915,93,92
73,42534,9533,783,45,373,26,6703,50399,88,92
74,42021,9611,769,48,370,23,6761,50882,84,96
75,41518,9676,744,45,371,28,6821,51367,76,96
76,41028,9734,714,50,354,27,6880,51853,77,97
77,40519,9798,698,48,343,28,6934,52338,69,97
78,40009,9874,693,49,326,25,6992,52822,68,98
79,39523,9933,659,43,321,24,7055,53303,58,99
80,39021,9998,643,40,306,22,7117,53793,62,100
81,38524,10055,622,36,280,24,7173,54279,56,101
82,38032,10128,611,35,264,22,7237,54752,68,102
83,37529,10212,629,33,274,25,7280,55242,83,103
84,37033,10280,639,32,273,24,7322,55727,96,104
85,36532,10349,635,32,276,22,7363,56212,92,105
86,36034,10409,604,28,270,20,7415,56704,80,107
87,35542,10472,592,26,271,16,7461,57192,74,108
88,35059,10522,584,30,285,14,7490,57679,65,110
89,34552,10588,576,29,280,11,7536,58171,62,113
90,34055,10650,559,24,272,9,7593,58658,62,113
91,33568,10704,555,24,267,9,7632,59147,70,114
92,33052,10764,550,28,261,9,7675,59643,62,114
93,32558,10814,537,26,253,10,7715,60125,64,115
94,32069,10876,533,30,251,12,7755,60608,65,115
95,31563,10935,529,25,249,10,7803,61097,71,116
96,31067,10993,523,25,237,10,7843,61587,68,116
97,30579,11048,510,25,241,11,7884,62075,63,116
98,30085,11116,523,24,233,11,7918,62566,70,117
99,29608,11184,532,20,231,14,7956,63056,82,117
100,29125,11240,533,22,236,13,7988,63544,86,118
101,28637,11289,510,19,232,12,8032,64034,81,119
102,28153,11332,482,19,225,14,8070,64527,69,119
