,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84238,316,316,0,0,0,0,15446,0,0
1,83662,404,404,0,0,0,0,15943,9,0
2,83083,496,496,0,0,0,0,16439,18,0
3,82479,611,611,0,0,0,0,16936,26,0
4,81852,750,741,0,0,0,0,17436,29,0
5,81205,917,899,0,0,0,0,17935,39,0
6,80553,1093,1067,41,354,0,0,18433,53,0
7,79918,1248,1210,48,430,0,0,18929,57,0
8,79273,1420,1363,57,528,0,0,19426,62,0
9,78640,1581,1502,72,640,0,0,19918,60,0
10,77986,1766,1671,93,767,0,0,20414,71,0
11,77323,1969,1850,108,906,0,0,20905,78,0
12,76664,2165,2026,118,1035,0,0,21393,83,0
13,76006,2353,1808,94,812,16,379,21884,77,0
14,75335,2569,1911,94,870,17,461,22375,82,0
15,74660,2789,1999,102,913,17,568,22865,92,0
16,74008,2986,2048,98,962,17,695,23352,103,0
17,73348,3190,2068,90,993,17,843,23836,95,0
18,72680,3407,2096,88,1008,17,997,24325,98,0
19,72031,3604,2122,95,1042,17,1136,24813,102,0
20,71399,3780,2107,98,1076,2,1298,25300,105,1
21,70753,3985,2132,113,1085,1,1439,25780,106,2
22,70093,4190,2144,110,1106,2,1596,26270,105,2
23,69458,4377,2129,122,1101,3,1767,26750,106,2
24,68804,4586,2129,121,1092,4,1937,27231,103,2
25,68171,4773,2114,118,1073,4,2104,27706,97,2
26,67536,4957,2087,116,1061,5,2283,28193,101,2
27,66905,5149,2058,108,1054,5,2467,28676,109,3
28,66288,5318,2033,98,1054,5,2632,29155,111,3
29,65646,5513,2015,99,1050,4,2809,29638,111,3
30,65046,5674,1953,89,1039,4,2988,30109,99,3
31,64428,5841,1928,94,1021,4,3149,30592,100,3
32,63839,6003,1910,105,1013,5,3293,31056,101,3
33,63247,6166,1874,105,985,4,3460,31526,110,3
34,62655,6335,1840,108,971,3,3630,31992,121,4
35,62068,6472,1785,104,949,3,3785,32467,109,4
36,61475,6642,1741,101,914,3,3958,32927,105,4
37,60875,6798,1695,102,880,2,4117,33399,90,4
