,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84258,301,301,0,0,0,0,15441,0,0
1,83717,348,348,0,0,0,0,15940,5,0
2,83157,415,415,0,0,0,0,16437,9,0
3,82588,498,498,0,0,0,0,16935,21,0
4,82016,582,577,0,0,0,0,17433,26,0
5,81427,678,669,0,0,0,0,17930,26,0
6,80820,804,783,27,316,0,0,18423,26,0
7,80243,898,867,32,374,0,0,18916,26,0
8,79677,981,946,40,437,0,0,19410,33,0
9,79108,1068,1021,47,504,0,0,19903,32,0
10,78520,1167,1110,54,589,0,0,20400,30,0
11,77938,1263,1195,62,695,0,0,20897,30,0
12,77354,1358,1279,68,773,0,0,21393,26,0
13,76767,1467,1059,47,523,22,321,21888,35,0
14,76188,1572,1091,49,534,23,383,22382,44,0
15,75630,1650,1093,55,548,25,452,22876,51,0
16,75041,1752,1104,58,556,25,526,23373,44,0
17,74480,1835,1075,59,551,25,618,23870,43,0
18,73917,1920,1032,58,530,25,732,24367,48,0
19,73369,1983,1002,60,529,26,815,24864,50,0
20,72805,2068,974,61,520,4,901,25355,43,8
21,72240,2158,968,64,533,3,978,25845,39,8
22,71692,2238,943,58,512,1,1071,26332,46,8
23,71124,2335,943,56,495,1,1156,26819,50,8
24,70558,2425,930,50,464,1,1244,27310,50,8
25,69988,2521,915,53,442,1,1336,27801,48,8
26,69420,2624,916,50,435,0,1421,28289,55,9
27,68859,2717,930,48,434,0,1485,28777,60,9
28,68292,2810,916,48,423,2,1575,29270,62,9
29,67727,2900,920,49,433,3,1638,29761,55,9
30,67178,2985,919,46,449,3,1704,30250,60,9
31,66630,3059,923,57,467,3,1755,30742,59,9
32,66076,3140,915,53,471,3,1828,31235,63,9
33,65531,3222,897,53,470,3,1903,31718,58,9
34,64993,3288,884,54,482,3,1964,32201,51,9
35,64451,3356,850,46,469,2,2045,32686,42,10
36,63903,3432,830,41,455,1,2121,33171,35,10
37,63357,3510,819,44,434,2,2199,33654,39,10
38,62816,3592,811,37,423,3,2278,34138,53,10
39,62281,3668,801,36,406,3,2351,34619,62,10
40,61742,3732,776,36,389,3,2425,35106,59,10
41,61216,3787,733,38,376,4,2498,35591,47,10
42,60688,3846,709,44,373,3,2558,36082,42,11
43,60146,3913,708,48,370,3,2614,36572,43,11
44,59616,3976,696,44,367,2,2676,37058,46,11
45,59099,4022,663,43,358,2,2738,37541,39,11
46,58569,4092,665,45,343,2,2793,38025,46,11
47,58031,4165,665,43,330,2,2850,38510,48,11
48,57496,4233,659,41,323,1,2914,38998,55,11
49,56966,4293,636,37,311,1,2977,39488,47,11
50,56438,4351,619,34,293,1,3034,39977,42,11
51,55907,4427,624,32,291,1,3088,40462,49,11
52,55401,4467,599,32,294,0,3140,40949,50,12
53,54875,4533,610,29,306,0,3182,41427,49,12
54,54360,4590,601,29,312,0,3224,41913,43,12
55,53843,4644,588,29,303,0,3278,42401,44,12
56,53324,4698,583,28,309,0,3325,42885,44,12
57,52810,4742,573,27,301,0,3361,43371,38,12
58,52282,4802,569,33,299,0,3411,43858,35,12
59,51765,4864,564,35,281,0,3466,44341,41,12
60,51255,4921,558,34,271,0,3517,44828,46,12
61,50746,4972,550,33,266,0,3565,45312,48,12
62,50226,5029,544,28,258,0,3610,45804,48,12
63,49707,5087,533,29,254,0,3662,46290,47,12
64,49197,5133,539,30,270,0,3689,46779,43,12
65,48697,5179,513,27,259,0,3743,47266,41,12
66,48181,5227,506,26,259,0,3782,47761,37,12
67,47684,5266,496,26,258,0,3822,48247,40,12
68,47177,5313,485,31,253,0,3864,48738,41,12
69,46651,5379,507,35,254,0,3896,49229,46,12
70,46129,5443,510,36,234,0,3945,49719,52,12
71,45609,5506,512,35,227,0,3989,50202,50,12
72,45099,5552,501,33,216,0,4029,50695,49,12
73,44594,5590,483,29,212,0,4067,51189,43,12
74,44091,5640,479,32,219,0,4106,51679,43,12
75,43571,5714,495,30,225,0,4148,52162,46,12
76,43064,5766,498,31,235,0,4185,52652,52,12
77,42551,5825,512,27,239,0,4215,53141,61,12
78,42048,5872,504,25,231,0,4251,53627,59,12
79,41541,5927,514,27,237,0,4278,54115,64,12
80,41032,5977,510,37,252,0,4308,54606,56,12
81,40541,6004,471,33,241,0,4357,55094,50,12
82,40039,6045,443,31,232,0,4403,55589,40,12
83,39552,6079,413,26,219,0,4451,56074,32,12
84,39057,6112,405,27,220,0,4481,56563,28,12
85,38559,6156,410,31,224,0,4507,57052,29,12
86,38069,6193,404,27,209,0,4542,57542,36,12
87,37571,6232,381,15,194,0,4597,58031,44,12
88,37088,6260,361,15,186,0,4631,58520,41,12
89,36589,6292,343,13,179,0,4666,59012,34,12
90,36096,6328,334,17,175,0,4696,59500,30,12
91,35611,6362,325,18,164,0,4728,59989,30,12
92,35118,6399,320,15,157,0,4762,60477,33,12
93,34628,6432,326,16,157,0,4778,60965,34,12
94,34143,6464,319,21,148,0,4806,61456,39,12
95,33647,6500,318,23,145,0,4832,61950,40,12
96,33154,6526,306,24,141,0,4858,62443,38,12
97,32664,6548,282,20,141,0,4888,62937,30,12
98,32165,6580,280,19,141,0,4910,63429,27,12
99,31673,6612,278,19,133,0,4934,63924,30,12
100,31180,6644,285,19,140,0,4951,64417,38,12
101,30690,6669,277,14,137,0,4975,64910,36,12
102,30207,6688,258,12,128,0,5000,65401,29,12
103,29726,6717,248,13,127,0,5023,65895,26,12
104,29244,6739,237,13,120,0,5049,66386,29,12
105,28752,6764,235,14,114,0,5070,66880,33,12
106,28268,6784,226,12,118,0,5086,67376,31,12
107,27778,6814,222,15,104,0,5110,67873,31,12
108,27295,6825,207,17,102,0,5126,68368,22,12
