,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84275,283,283,0,0,0,0,15442,0,0
1,83716,350,350,0,0,0,0,15940,6,0
2,83159,415,415,0,0,0,0,16439,13,0
3,82566,515,515,0,0,0,0,16939,20,0
4,81947,654,648,0,0,0,0,17435,30,0
5,81336,790,777,0,0,0,0,17927,40,0
6,80687,959,939,36,308,0,0,18424,50,0
7,80087,1085,1049,41,361,0,0,18920,56,0
8,79450,1254,1201,50,445,0,0,19411,62,0
9,78814,1418,1348,59,559,0,0,19904,66,0
10,78170,1590,1498,67,670,0,0,20399,67,0
11,77494,1802,1687,79,810,0,0,20886,67,0
12,76861,1975,1839,89,904,0,0,21375,75,0
13,76213,2151,1660,63,732,12,332,21868,73,0
14,75576,2318,1747,71,809,13,389,22355,67,0
15,74947,2502,1812,78,858,16,479,22834,72,0
16,74310,2682,1853,91,911,21,597,23321,81,0
17,73673,2860,1903,94,933,29,708,23808,92,0
18,73057,3025,1886,105,925,33,856,24288,87,0
19,72457,3184,1916,107,969,38,955,24764,92,0
20,71841,3344,1897,119,961,33,1101,25249,93,5
21,71205,3522,1906,116,971,36,1240,25737,94,6
22,70589,3689,1890,116,972,37,1388,26214,87,6
23,69988,3857,1841,103,932,38,1575,26690,101,7
24,69380,4022,1830,103,912,36,1719,27173,111,9
25,68799,4170,1800,94,897,41,1868,27647,124,10
26,68200,4322,1762,100,889,44,2012,28130,117,13
27,67597,4487,1737,93,885,44,2160,28604,113,15
28,67010,4628,1690,91,862,47,2306,29073,95,16
29,66439,4755,1632,84,844,48,2453,29546,88,18
30,65858,4890,1594,85,814,47,2588,30019,79,20
31,65264,5046,1601,86,805,45,2713,30494,93,21
32,64686,5182,1572,91,798,40,2846,30969,97,24
33,64111,5310,1519,88,771,34,2997,31443,97,27
34,63567,5431,1463,78,740,33,3135,31897,91,29
35,63007,5561,1433,82,719,31,3259,32360,91,32
36,62455,5669,1388,85,710,30,3384,32832,92,33
37,61887,5818,1401,87,704,32,3487,33296,106,35
38,61315,5938,1370,88,688,30,3604,33768,93,36
39,60761,6043,1315,75,662,27,3735,34241,89,37
40,60211,6156,1267,68,648,29,3851,34710,76,37
41,59670,6258,1250,72,626,28,3948,35180,86,39
42,59125,6354,1212,70,624,26,4058,35654,87,39
43,58580,6446,1154,67,608,27,4174,36129,74,41
44,58048,6543,1113,62,591,22,4279,36590,67,44
45,57514,6644,1090,56,577,24,4377,37058,75,45
46,56966,6748,1088,59,556,27,4463,37531,83,46
47,56417,6853,1074,61,528,28,4559,38001,84,46
48,55869,6968,1076,58,524,28,4636,38472,85,49
49,55324,7073,1053,57,495,31,4736,38946,86,50
50,54779,7177,1034,57,463,32,4833,39421,88,52
51,54238,7293,1034,56,460,31,4914,39888,86,53
52,53676,7401,1033,62,454,31,4993,40369,82,55
53,53116,7526,1056,64,461,27,5068,40854,94,56
54,52573,7619,1042,62,469,23,5141,41329,83,58
55,52054,7708,1030,62,474,19,5216,41801,87,60
56,51510,7818,1025,66,480,16,5291,42277,83,62
57,50976,7927,1042,67,495,13,5360,42752,96,64
58,50443,8025,1035,69,503,13,5437,43233,101,64
59,49904,8122,1017,64,499,13,5517,43711,91,65
60,49380,8215,998,56,487,16,5595,44195,90,65
61,48861,8315,989,56,486,17,5671,44670,93,65
62,48339,8399,976,56,483,22,5744,45147,91,65
63,47817,8485,943,45,475,20,5828,45625,90,67
64,47307,8566,902,48,461,18,5912,46102,81,69
65,46796,8648,875,42,440,18,5999,46577,84,69
66,46279,8730,849,39,435,14,6073,47058,79,71
67,45758,8808,841,42,433,16,6131,47536,75,72
68,45259,8867,799,38,415,16,6207,48019,71,72
69,44740,8953,779,40,392,12,6286,48496,68,72
70,44235,9029,769,46,378,14,6348,48978,79,73
71,43730,9091,740,39,367,17,6417,49461,81,74
72,43208,9173,741,42,359,20,6474,49947,84,74
73,42706,9243,718,42,333,25,6533,50436,80,74
74,42216,9300,685,44,331,20,6600,50918,83,74
75,41718,9354,661,45,318,23,6651,51405,74,74
76,41207,9429,650,39,309,21,6707,51887,65,74
77,40715,9484,621,32,314,20,6764,52370,63,75
78,40207,9555,619,29,302,20,6817,52855,65,77
79,39705,9620,608,25,282,20,6871,53337,68,78
80,39216,9673,594,22,283,15,6913,53820,65,79
81,38717,9721,564,19,278,19,6971,54315,66,79
82,38209,9784,560,20,266,18,7013,54800,62,80
83,37710,9842,561,26,272,21,7049,55287,62,80
84,37215,9897,542,29,255,23,7102,55776,62,80
85,36699,9966,547,27,249,19,7145,56262,60,81
86,36204,10020,545,27,245,15,7179,56744,59,82
87,35701,10088,560,34,245,19,7211,57231,59,82
88,35200,10145,543,34,228,17,7266,57718,63,83
89,34708,10216,559,31,234,13,7299,58204,73,85
90,34211,10278,547,31,234,11,7352,58693,78,85
91,33722,10337,541,28,230,9,7394,59185,84,86
92,33242,10389,533,30,243,11,7424,59670,78,86
93,32748,10436,530,30,251,14,7448,60158,70,86
94,32262,10487,506,26,253,10,7493,60645,61,88
95,31765,10535,491,23,255,8,7530,61135,62,90
96,31272,10582,488,23,252,10,7562,61623,64,90
97,30771,10637,473,20,232,10,7612,62113,67,91
98,30298,10685,462,23,224,10,7644,62598,64,93
99,29808,10733,441,24,208,8,7691,63090,61,95
100,29317,10782,431,26,194,6,7726,63579,56,97
101,28840,10825,413,25,181,8,7765,64069,54,97
102,28356,10874,410,26,177,9,7800,64560,63,97
103,27874,10919,405,26,172,7,7833,65051,57,97
104,27399,10956,394,24,177,7,7861,65542,54,97
105,26921,10993,374,24,180,5,7891,66036,47,98
106,26447,11026,366,22,173,7,7921,66534,46,98
107,25959,11074,373,22,173,6,7945,67027,50,98
108,25479,11122,375,20,182,6,7972,67520,52,98
109,24992,11156,366,18,171,6,8004,68010,54,99
110,24509,11197,360,15,166,6,8030,68499,52,99
111,24025,11233,347,12,161,9,8058,68993,45,99
112,23544,11281,353,10,158,11,8088,69485,51,99
113,23050,11315,344,12,160,10,8111,69977,44,100
114,22559,11350,344,10,161,12,8132,70470,41,100
115,22078,11386,326,11,148,10,8167,70962,41,101
116,21586,11422,329,13,148,9,8188,71455,45,101
117,21093,11457,335,16,157,9,8206,71950,52,101
118,20608,11497,331,20,152,6,8230,72443,52,103
119,20116,11552,341,22,147,4,8259,72933,59,103
120,19638,11585,329,21,139,4,8286,73424,58,103
121,19151,11626,329,20,138,3,8309,73917,57,103
122,18673,11661,320,19,134,4,8330,74410,51,103
123,18175,11711,332,17,136,5,8351,74904,55,103
124,17686,11753,328,21,134,6,8380,75397,53,103
125,17199,11782,317,21,128,5,8403,75892,49,103
126,16700,11825,318,18,131,8,8424,76389,46,103
127,16214,11867,326,15,134,7,8443,76876,47,103
128,15707,11912,337,21,137,6,8464,77366,52,103
129,15216,11958,349,23,145,7,8480,77851,50,103
130,14726,12003,356,23,139,7,8502,78337,53,103
131,14398,12040,342,16,139,6,8535,78650,49,103
132,14381,12084,356,14,151,8,8549,78650,60,103
133,14362,12122,348,14,154,5,8573,78650,60,106
134,14344,12165,359,22,158,5,8591,78650,71,106
135,14319,12211,349,18,159,5,8620,78650,65,106
136,14300,12242,332,17,156,3,8648,78650,58,107
137,14274,12286,334,17,157,2,8664,78650,51,108
138,14263,12305,307,21,147,2,8689,78650,38,108
139,14244,12340,302,20,140,0,8716,78650,42,109
140,14224,12377,294,19,139,0,8743,78650,41,109
141,14207,12408,289,13,134,2,8771,78650,47,109
142,14190,12441,280,11,136,2,8797,78650,47,109
143,14173,12476,275,8,127,2,8820,78650,48,109
144,14150,12512,280,8,129,2,8837,78650,47,109
145,14137,12539,272,4,134,2,8856,78650,45,109
146,14122,12569,266,6,131,2,8874,78650,42,109
147,14109,12595,254,8,121,2,8899,78650,42,109
148,14094,12623,247,6,121,0,8919,78650,41,110
149,14074,12656,239,8,116,0,8945,78650,39,110
150,14048,12705,264,9,117,0,8956,78650,49,110
151,14026,12751,278,8,114,0,8975,78650,60,110
152,13997,12794,288,10,105,0,8995,78650,61,110
153,13976,12836,290,10,103,0,9012,78650,59,110
154,13956,12868,281,9,107,0,9029,78650,47,110
155,13930,12909,291,10,115,0,9046,78650,48,110
156,13906,12958,296,13,111,0,9069,78650,52,110
157,13881,12999,312,14,126,0,9082,78650,56,110
158,13864,13027,310,16,130,0,9097,78650,52,110
159,13846,13061,306,14,139,0,9110,78650,43,110
160,13830,13096,310,12,152,0,9125,78650,46,110
161,13806,13139,322,12,156,0,9145,78650,54,110
162,13789,13178,319,13,154,0,9171,78650,60,110
163,13778,13202,302,11,151,0,9193,78650,54,110
164,13757,13236,288,11,140,0,9222,78650,48,110
165,13738,13267,276,10,136,0,9243,78650,38,110
166,13722,13302,278,14,136,0,9263,78650,44,110
167,13706,13335,272,18,123,0,9289,78650,48,110
168,13691,13359,260,18,110,0,9313,78650,45,110
169,13667,13401,258,16,108,0,9338,78650,44,110
170,13649,13438,261,14,112,0,9355,78650,46,110
171,13620,13478,274,15,109,0,9373,78650,48,110
172,13592,13526,288,15,109,0,9389,78650,50,110
