,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84223,335,335,0,0,0,0,15442,0,0
1,83651,414,414,0,0,0,0,15941,6,0
2,83080,495,495,0,0,0,0,16441,16,0
3,82485,607,607,0,0,0,0,16941,33,0
4,81875,728,722,0,0,0,0,17437,34,0
5,81249,878,862,0,0,0,0,17932,43,0
6,80590,1060,1027,41,367,0,0,18425,42,0
7,79972,1201,1161,49,430,0,0,18918,51,0
8,79341,1355,1296,60,514,0,0,19413,50,0
9,78689,1530,1455,77,611,0,0,19910,54,0
10,78051,1693,1602,86,733,0,0,20406,59,0
11,77401,1874,1765,103,882,0,0,20896,62,0
12,76759,2049,1920,112,998,0,0,21387,66,0
13,76111,2225,1683,86,752,16,392,21879,65,0
14,75481,2394,1761,90,832,17,462,22361,65,0
15,74818,2609,1857,86,883,17,557,22852,84,0
16,74167,2784,1900,93,922,19,669,23345,81,0
17,73519,2981,1946,97,938,20,799,23832,96,0
18,72867,3171,1928,100,925,21,964,24315,74,0
19,72223,3348,1964,104,944,22,1088,24805,80,0
20,71600,3520,1949,102,982,7,1236,25288,76,3
21,70983,3678,1930,108,979,6,1391,25775,83,4
22,70351,3846,1934,111,995,7,1532,26262,83,4
23,69708,4039,1935,103,1012,7,1691,26751,90,5
24,69090,4197,1914,100,1018,7,1842,27232,83,5
25,68483,4351,1889,97,1005,7,1998,27714,89,5
26,67876,4507,1858,99,985,7,2146,28194,79,5
27,67258,4679,1839,102,955,9,2316,28672,90,5
28,66656,4830,1803,96,957,9,2474,29150,88,5
29,66061,4993,1775,97,932,8,2635,29616,93,6
30,65441,5171,1752,89,896,8,2804,30095,98,6
31,64837,5319,1720,94,864,9,2957,30578,98,6
32,64207,5497,1724,90,868,9,3096,31056,90,7
33,63607,5665,1724,93,859,8,3226,31527,92,8
34,63004,5836,1720,89,847,5,3373,31991,97,9
35,62408,5998,1704,95,828,7,3525,32468,114,9
36,61831,6143,1675,92,815,9,3660,32928,103,9
37,61246,6295,1670,94,840,9,3784,33392,102,10
38,60662,6447,1650,95,841,7,3912,33866,101,11
39,60063,6588,1622,97,838,6,4053,34346,95,11
40,59475,6742,1621,89,841,6,4177,34820,104,11
41,58889,6892,1601,90,828,7,4305,35295,100,11
42,58346,7006,1550,87,811,5,4448,35759,108,11
43,57791,7130,1512,93,794,4,4569,36228,99,12
44,57200,7288,1478,93,761,2,4723,36704,98,12
45,56640,7412,1444,90,749,3,4851,37177,104,12
46,56056,7554,1416,85,727,3,4990,37651,102,12
47,55479,7692,1398,86,691,3,5109,38125,93,12
48,54903,7848,1400,78,675,2,5227,38596,102,12
49,54322,8003,1405,78,675,2,5348,39067,112,12
50,53752,8144,1407,67,664,1,5459,39539,125,12
51,53191,8278,1378,68,657,2,5577,40006,117,12
52,52607,8427,1373,65,656,1,5692,40479,106,12
