,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84277,271,271,0,0,0,0,15452,0,0
1,83726,330,330,0,0,0,0,15950,6,0
2,83156,410,410,0,0,0,0,16446,12,0
3,82589,487,487,0,0,0,0,16945,21,0
4,81994,592,586,0,0,0,0,17444,24,0
5,81399,706,694,0,0,0,0,17939,32,0
6,80774,852,831,29,295,0,0,18435,40,0
7,80182,967,937,34,364,0,0,18929,48,0
8,79547,1122,1078,40,426,0,0,19427,52,0
9,78934,1266,1205,51,511,0,0,19921,60,0
10,78307,1422,1344,61,601,0,0,20412,63,0
11,77678,1584,1488,69,722,0,0,20904,70,0
12,77055,1731,1610,76,813,0,0,21396,61,0
13,76424,1887,1482,60,642,60,264,21887,57,0
14,75782,2062,1569,65,682,71,327,22374,52,0
15,75176,2214,1647,73,742,81,385,22855,63,0
16,74545,2388,1725,81,775,97,465,23341,76,0
17,73925,2539,1772,86,801,113,549,23831,77,0
18,73288,2716,1817,90,808,137,654,24314,73,0
19,72668,2879,1868,97,858,152,737,24793,66,0
20,72051,3042,1841,104,839,120,888,25277,75,18
21,71446,3212,1876,104,865,127,996,25762,102,22
22,70834,3375,1891,103,860,137,1119,26242,111,25
23,70231,3523,1871,96,884,136,1252,26724,108,30
24,69631,3675,1854,88,902,148,1366,27204,90,35
25,69020,3823,1827,91,892,144,1501,27685,77,44
26,68423,3969,1803,87,861,156,1639,28163,77,49
27,67826,4121,1799,78,877,157,1749,28640,77,63
28,67242,4254,1775,81,850,163,1883,29112,80,68
29,66642,4404,1773,74,847,168,2002,29592,83,74
30,66042,4563,1755,76,821,177,2142,30068,86,79
31,65453,4712,1734,84,791,169,2286,30538,95,84
32,64863,4856,1710,77,785,164,2420,31013,94,88
33,64295,4985,1678,74,780,158,2542,31485,92,92
34,63724,5124,1650,74,768,153,2672,31952,97,99
35,63159,5253,1619,72,773,143,2793,32424,104,109
36,62600,5374,1577,80,764,133,2918,32897,106,114
37,62040,5491,1528,73,756,132,3038,33369,100,125
38,61478,5606,1487,66,740,131,3156,33841,89,127
39,60911,5722,1455,68,722,138,3262,34320,82,134
40,60356,5823,1406,75,696,129,3377,34796,75,140
41,59770,5966,1411,69,668,136,3481,35269,79,149
42,59208,6081,1375,67,634,137,3597,35743,76,156
43,58653,6198,1353,66,606,139,3710,36209,80,160
44,58080,6342,1358,71,574,144,3813,36682,94,167
45,57516,6461,1354,69,559,142,3905,37153,92,173
46,56953,6608,1368,70,568,139,4002,37608,103,183
47,56402,6724,1343,62,573,134,4095,38082,95,188
48,55856,6833,1327,70,570,118,4186,38553,103,199
